Partida n;46%;;;;Medida 1;Medida 2;Medida 3;Medida 4;;;
Partida 1;58,38;;;Negro de fumo;59,95%;61,87%;62,90%;61,05%;;;
Partida 2;59,09;;;Sangue;69,53%;78,86%;75,56%;71,68%;;;
Partida 3;58,33;;;Chocolate com leite;58,78%;65,07%;61,06%;62,00%;;;Obs: é obrigatório a substituição do ponto por vírgula
Partida 4;70,86;;;Vinho;80,46%;79,87%;80,18%;80,01%;;;exemplo: 78.00% por 78,00%
Partida 5;60,67;;;Negro de fumo;62,51%;59,04%;58,44%;60,79%;;;
Partida 6;64,72;;;Sangue;75,57%;77,67%;79,58%;77,51%;;;
Partida 7;82,43;;;Chocolate com leite;63,78%;57,00%;59,14%;63,00%;;;
Partida 8;82,45;;;Vinho;80,01%;79,23%;79,60%;80,30%;;;
Partida 9;56,3;;;Negro de fumo;62,49%;61,28%;62,90%;60,18%;;;
Partida 10;57,87;;;Sangue;70,62%;61,73%;56,25%;66,78%;;;
Partida 11;54,1;;;Chocolate com leite;62,53%;64,08%;60,07%;64,38%;;;
Partida 12;79,82;;;Vinho;81,15%;79,87%;81,61%;80,60%;;;
Partida 13;64,65;;;Negro de fumo;63,33%;60,28%;57,71%;63,10%;;;
Partida 14;60,04;;;Sangue;78,07%;78,29%;76,77%;79,01%;;;
Partida 15;82,66;;;Chocolate com leite;65,55%;63,82%;65,42%;65,84%;;;
Partida 16;82,08;;;Vinho;81,31%;80,80%;80,30%;81,03%;;;
Partida 17;57,4;;;;;;;;;;
Partida 18;58,71;;;;;;;;;;
Partida 19;77,2;;;;;;;;;;
Partida 20;78,06;;;;;;;;;;
Partida 21;61,41;;;;;;;;;;
Partida 22;60,96;;;;;;;;;;
Partida 23;82,41;;;;;;;;;;
Partida 24;81,96;;;;;;;;;;
Partida 25;60,35;;;;;;;;;;
Partida 26;57,01;;;;;;;;;;
Partida 27;69,3;;;;;;;;;;
Partida 28;81,58;;;;;;;;;;
Partida 29;58,74;;;;;;;;;;
Partida 30;57,33;;;;;;;;;;
Partida 31;82,46;;;;;;;;;;
Partida 32;82,09;;;;;;;;;;
Partida 33;62,19;;;;;;;;;;
Partida 34;64,09;;;;;;;;;;
Partida 35;73,67;;;;;;;;;;
Partida 36;75,51;;;;;;;;;;
Partida 37;66,55;;;;;;;;;;
Partida 38;64,8;;;;;;;;;;
Partida 39;81,73;;;;;;;;;;
Partida 40;81,83;;;;;;;;;;
Partida 41;63,24;;;;;;;;;;
Partida 42;62,25;;;;;;;;;;
Partida 43;77,87;;;;;;;;;;
Partida 44;76,7;;;;;;;;;;
Partida 45;62,98;;;;;;;;;;
Partida 46;64,56;;;;;;;;;;
Partida 47;82,66;;;;;;;;;;
Partida 48;81,98;;;;;;;;;;
Partida 49;63,37;;;;;;;;;;
Partida 50;59,23;;;;;;;;;;
Partida 51;63,51;;;;;;;;;;
Partida 52;72,27;;;;;;;;;;
Partida 53;64,99;;;;;;;;;;
Partida 54;60,31;;;;;;;;;;
Partida 55;82,18;;;;;;;;;;
Partida 56;82,03;;;;;;;;;;
Partida 57;62,2;;;;;;;;;;
Partida 58;61,5;;;;;;;;;;
Partida 59;62,88;;;;;;;;;;
Partida 60;67,36;;;;;;;;;;
Partida 61;59,91;;;;;;;;;;
Partida 62;64,46;;;;;;;;;;
Partida 63;82;;;;;;;;;;
Partida 64;81,57;;;;;;;;;;
